UNDERFLIGHT PRIORITY,note,product_code,site_code,year_month,visit,flight_line
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L030-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L034-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L048-1_20230821_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L038-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L044-1_20230821_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L041-1_20230815_directional_reflectance
MRS - centered on flight,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L018-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L016-1_20230815_directional_reflectance
Ruby - edge covers flight,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L010-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L021-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L027-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L029-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L032-1_20230815_directional_reflectance
Goldhill - edge touches flight,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L005-1_20230815_directional_reflectance
,"Most recent, provisional imagery",DP1.30006.001,NIWO,2023-08,5,NEON_D13_NIWO_DP1_L043-1_20230815_directional_reflectance
