noise,method,origins,poly_count,area
0,Real,14,,
0,Top-Down,4,4.0,4797.0
0,Imp BU,5,29.0,478.5
0,Real,19,,
0,Top-Down,3,4.0,6230.5
0,Imp BU,1,28.0,403.0
0,Real,18,,
0,Top-Down,3,4.0,6657.5
0,Imp BU,4,79.0,1481.5
0,Real,10,,
0,Top-Down,6,8.0,5839.0
0,Imp BU,3,42.0,585.0
0,Real,19,,
0,Top-Down,13,14.0,5983.5
0,Imp BU,2,16.0,169.0
0,Real,21,,
0,Top-Down,5,5.0,6340.5
0,Imp BU,2,26.0,392.0
0,Real,23,,
0,Top-Down,6,7.0,6020.0
0,Imp BU,5,44.0,480.0
0,Real,24,,
0,Top-Down,3,3.0,7091.5
0,Imp BU,4,26.0,308.0
0,Real,15,,
0,Top-Down,6,7.0,5072.0
0,Imp BU,4,44.0,677.0
0,Real,16,,
0,Top-Down,4,4.0,5666.0
0,Imp BU,4,27.0,387.5
0,Real,15,,
0,Top-Down,6,6.0,5076.0
0,Imp BU,2,32.0,521.0
0,Real,19,,
0,Top-Down,7,7.0,6387.5
0,Imp BU,1,27.0,460.5
0,Real,17,,
0,Top-Down,5,5.0,6077.5
0,Imp BU,4,26.0,299.0
0,Real,17,,
0,Top-Down,5,5.0,6504.5
0,Imp BU,6,47.0,629.5
0,Real,21,,
0,Top-Down,7,7.0,6280.5
0,Imp BU,2,48.0,918.0
0,Real,24,,
0,Top-Down,5,5.0,5984.5
0,Imp BU,2,22.0,416.0
0,Real,16,,
0,Top-Down,5,5.0,5566.5
0,Imp BU,1,4.0,38.0
0,Real,22,,
0,Top-Down,5,5.0,6628.5
0,Imp BU,2,46.0,1018.0
0,Real,15,,
0,Top-Down,6,6.0,5295.0
0,Imp BU,2,23.0,280.5
0,Real,16,,
0,Top-Down,4,4.0,5592.0
0,Imp BU,1,30.0,451.0
0,Real,18,,
0,Top-Down,6,8.0,5619.0
0,Imp BU,6,30.0,415.0
0,Real,23,,
0,Top-Down,6,6.0,5861.0
0,Imp BU,2,12.0,129.0
0,Real,16,,
0,Top-Down,5,5.0,5416.5
0,Imp BU,1,29.0,489.5
0,Real,16,,
0,Top-Down,6,8.0,6374.0
0,Imp BU,4,63.0,1118.5
0,Real,16,,
0,Top-Down,5,5.0,6409.5
0,Imp BU,3,52.0,758.0
0,Real,17,,
0,Top-Down,4,5.0,5738.0
0,Imp BU,3,12.0,131.0
0,Real,15,,
0,Top-Down,6,6.0,5144.0
0,Imp BU,3,29.0,396.5
0,Real,19,,
0,Top-Down,7,7.0,6276.5
0,Imp BU,4,46.0,706.0
0,Real,18,,
0,Top-Down,6,7.0,5672.0
0,Imp BU,5,38.0,511.0
0,Real,17,,
0,Top-Down,3,3.0,5644.5
0,Imp BU,2,20.0,240.0
0,Real,23,,
0,Top-Down,10,10.0,5301.0
0,Imp BU,1,22.0,309.0
0,Real,13,,
0,Top-Down,4,5.0,5239.0
0,Imp BU,2,13.0,203.5
0,Real,22,,
0,Top-Down,4,5.0,6617.0
0,Imp BU,3,63.0,815.5
0,Real,20,,
0,Top-Down,7,8.0,5333.5
0,Imp BU,4,51.0,656.5
0,Real,23,,
0,Top-Down,3,3.0,7598.5
0,Imp BU,10,67.0,888.5
0,Real,16,,
0,Top-Down,6,6.0,5548.0
0,Imp BU,5,33.0,493.5
0,Real,20,,
0,Top-Down,5,5.0,5516.5
0,Imp BU,8,21.0,229.5
0,Real,16,,
0,Top-Down,6,6.0,5373.0
0,Imp BU,1,42.0,875.0
0,Real,19,,
0,Top-Down,1,1.0,6466.5
0,Imp BU,5,36.0,420.0
0,Real,13,,
0,Top-Down,7,7.0,5485.5
0,Imp BU,3,50.0,544.0
0,Real,19,,
0,Top-Down,3,4.0,7048.5
0,Imp BU,2,50.0,615.0
0,Real,22,,
0,Top-Down,4,5.0,7069.0
0,Imp BU,5,29.0,336.5
0,Real,17,,
0,Top-Down,5,7.0,6112.5
0,Imp BU,3,47.0,752.5
0,Real,17,,
0,Top-Down,7,7.0,6518.5
0,Imp BU,3,47.0,662.5
0,Real,14,,
0,Top-Down,4,6.0,5387.0
0,Imp BU,2,26.0,345.0
0,Real,18,,
0,Top-Down,5,5.0,6186.5
0,Imp BU,2,26.0,324.0
0,Real,9,,
0,Top-Down,3,3.0,4411.5
0,Imp BU,1,38.0,792.0
0,Real,16,,
0,Top-Down,5,5.0,5613.5
0,Imp BU,4,21.0,262.5
0,Real,21,,
0,Top-Down,8,11.0,5702.0
0,Imp BU,5,42.0,648.0
0,Real,21,,
0,Top-Down,6,6.0,6291.0
0,Imp BU,3,17.0,183.5
0,Real,19,,
0,Top-Down,5,5.0,6092.5
0,Imp BU,5,39.0,508.5
0,Real,17,,
0,Top-Down,4,4.0,6138.0
0,Imp BU,1,38.0,1056.0
0,Real,20,,
0,Top-Down,10,10.0,6301.0
0,Imp BU,2,23.0,286.5
0,Real,14,,
0,Top-Down,4,5.0,5450.0
0,Imp BU,4,37.0,582.5
0,Real,18,,
0,Top-Down,2,3.0,6852.0
0,Imp BU,5,64.0,1058.0
0,Real,10,,
0,Top-Down,3,3.0,4468.5
0,Imp BU,3,34.0,478.0
0,Real,19,,
0,Top-Down,10,11.0,5775.0
0,Imp BU,2,40.0,553.0
0,Real,24,,
0,Top-Down,7,7.0,5244.5
0,Imp BU,3,29.0,355.5
0,Real,24,,
0,Top-Down,3,3.0,6889.5
0,Imp BU,7,43.0,542.5
0,Real,21,,
