days,wind_strength,max_jump_dist,noise_per_day,real_origins,td_origins,bu_origins,real_area,td_area,bu_area,real_perimeter,td_perimeter,bu_perimeter
30,0.5,0,50,2,2,50,497.0,497.0,159.0,150.4091629284901,150.4091629284901,381.93102422918764
30,0.5,10,50,6,6,58,429.0,429.0,142.25,178.93607486307118,178.93607486307118,380.4457428549491
30,0.5,20,50,2,2,72,610.0,610.0,214.5,143.82337649086324,143.82337649086324,531.9554108468276
30,1.0,0,50,1,1,150,1023.5,1023.5,515.5,164.9949493661171,164.9949493661171,1065.3250352560297
30,1.0,10,50,4,4,195,1208.0,1208.0,626.375,251.46298679765263,251.46298679765263,1314.1103525240192
30,1.0,20,50,5,5,153,1169.5,1169.5,617.5,272.5756851698609,272.5756851698609,1187.2072862499388
30,2.0,0,50,3,3,187,1112.5,1112.5,557.875,288.2325394193531,288.2325394193531,1319.5245660863916
30,2.0,10,50,3,3,162,1114.5,1114.5,534.5,207.5218613006984,207.5218613006984,1162.0357133746843
30,2.0,20,50,4,4,145,917.0,917.0,507.25,242.29141392239868,242.29141392239868,999.3128419472099
60,0.5,0,50,5,5,501,3617.5,3617.5,1242.625,526.6660889654838,526.6660889654838,3268.8071042303027
60,0.5,10,50,7,7,561,4000.5,4000.5,1371.375,520.6244584051412,520.6244584051412,3637.738128459493
60,0.5,20,50,4,4,437,3204.0,3204.0,1112.875,482.48232278141046,482.48232278141046,2905.432429187222
60,1.0,0,50,6,6,764,6669.0,6669.0,3691.5,787.9453095790627,787.9453095790627,6300.766445351968
60,1.0,10,50,9,9,759,5695.5,5695.5,2912.625,730.3889603929583,730.3889603929583,5836.530334595192
60,1.0,20,50,5,5,732,6028.5,6028.5,3231.125,665.1341263970196,665.1341263970196,5843.086683781286
60,2.0,0,50,4,4,613,5747.0,5747.0,3136.875,525.6538956566641,525.6538956566641,5404.214534055191
60,2.0,10,50,5,5,576,5081.5,5081.5,2833.0,589.8376618407376,589.8376618407376,4834.125609555998
60,2.0,20,50,7,7,549,5185.5,5185.5,3070.625,505.02647865869403,505.02647865869403,5158.278459192119
90,0.5,0,50,7,7,1368,10692.5,10692.5,3277.625,1054.5037508062221,1054.5037508062221,8754.03740293165
90,0.5,10,50,4,4,1183,9076.0,9076.0,2937.5,803.3422791987341,803.3422791987341,7745.093572649022
90,0.5,20,50,11,11,1238,9603.5,9603.5,3079.625,886.6387437550153,886.6387437550153,8121.827158088863
90,1.0,0,50,8,8,1836,14577.0,14577.0,8066.5,1139.7758287448642,1139.7758287448642,13715.154390516582
90,1.0,10,50,8,8,1664,15442.0,15442.0,9052.375,939.8691911333149,939.8691911333149,14431.740789698984
90,1.0,20,50,9,9,1794,15819.5,15819.5,8723.75,1017.6093065034921,1017.6093065034921,14884.047968267712
90,2.0,0,50,3,3,2062,16760.5,16760.5,9182.25,1230.9301576774146,1230.9301576774146,16090.380146198715
90,2.0,10,50,10,10,2283,18761.0,18761.0,10491.125,1144.4204896855363,1144.4204896855363,18007.88956038348
90,2.0,20,50,7,7,1541,14090.5,14090.5,7891.875,926.6559876977186,926.6559876977186,13164.562940700474
